titulo,descricao,link,data_publicacao,fonte,categoria,n_palavras_titulo,n_palavras_desc,dia_semana,hora,sentimento
Preocupação com a Pateira de Fermentelos leva Câmara de Águeda a tomar medidas urgentes,"A Câmara de Águeda receia um desastre ambiental na Pateira de Fermentelos, a maior lagoa natural da Península Ibérica. É considerada pela sua biodiversidade um espaço de elevado valor ambiental, científico e turístico.",https://www.rtp.pt/noticias/pais/preocupacao-com-a-pateira-de-fermentelos-leva-camara-de-agueda-a-tomar-medidas-urgentes_a1693163,2025-10-23 14:46:03+01:00,RTP,pais,14,33,3,14,0
Elevador da Glória. Empresa de manutenção rejeita responsabilidades na aquisição do cabo,"Foram ouvidos esta quinta-feira, no Departamento de Investigação e Ação Penal, os membros da empresa que assegurava a manutenção do elevador da Glória.",https://www.rtp.pt/noticias/pais/elevador-da-gloria-empresa-de-manutencao-rejeita-responsabilidades-na-aquisicao-do-cabo_v1693169,2025-10-23 14:36:53+01:00,RTP,pais,12,23,3,14,0
Balsemão lembrado como homem de consensos,"Francisco Pinto Balsemão continua a ser recordado por todos os que passam pelos Jerónimos como um homem de consensos, capaz de ouvir, um construtor de da democracia.",https://www.rtp.pt/noticias/pais/balsemao-lembrado-como-homem-de-consensos_v1693161,2025-10-23 14:29:47+01:00,RTP,pais,6,27,3,14,0
Balsemão distinguido pelas cidades de Lisboa e do Porto,"Em 2023, Carlos Moedas atribuiu-lhe a Medalha de Honra do munícipio de Lisboa. Rui Moreira deu-lhe as chaves da cidade do Porto. Os dois autarcas recordam Pinto Balsemão pela luta pela liberdade.",https://www.rtp.pt/noticias/pais/balsemao-distinguido-pelas-cidades-de-lisboa-e-do-porto_v1693157,2025-10-23 14:19:47+01:00,RTP,pais,9,32,3,14,0
Centenas para se despedir de balsemão nos Jerónimos,"O presidente da República e o primeiro-ministro foram duas das muitas personalidades públicas que estiveram no mosteiro, em Lisboa, para as últimas homenagens ao fundador do PSD, Expresso e SIC.",https://www.rtp.pt/noticias/pais/centenas-para-se-despedir-de-balsemao-nos-jeronimos_v1693156,2025-10-23 14:17:47+01:00,RTP,pais,8,30,3,14,0
"Operação Obsequiam. Ministério Público faz ""buscas para recolha de prova"" na Proteção Civil","O Ministério Público pôs em marcha, esta quinta-feira, uma &quot;operação de buscas para recolha de prova&quot; que tem por alvos instalações da Autoridade Nacional de Emergência e Proteção Civil, empresas e residências. Em causa estão &quot;procedimentos de contratação pública&quot; para equipamentos de combate a incêndios.",https://www.rtp.pt/noticias/pais/operacao-obsequiam-ministerio-publico-faz-buscas-para-recolha-de-prova-na-protecao-civil_n1693128,2025-10-23 12:30:22+01:00,RTP,pais,13,45,3,12,0
"Líder da maior obediência maçónica lembra fundador da ""República de Abril""","O grão mestre do Grande Oriente Lusitano definiu hoje Francisco Pinto Balsemão, falecido na terça-feira, como um fundador da &quot;República de Abril&quot; e &quot;amante incondicional da liberdade&quot;, considerando-o um dos homens que mais marcaram a história contemporânea nacional.",https://www.rtp.pt/noticias/pais/lider-da-maior-obediencia-maconica-lembra-fundador-da-republica-de-abril_n1693122,2025-10-23 12:04:49+01:00,RTP,pais,11,38,3,12,0
"""Também somos Almada"". Moradores do bairro da Penajóia escrevem carta à Câmara Municipal","Os moradores da Penajóia escreveram à Câmara Municipal de Almada. É um lembrete sobre o direito a uma vida digna, uma resposta à carta que a autarquia enviou, na semana passada, ao Governo e ao IHRU.",https://www.rtp.pt/noticias/pais/tambem-somos-almada-moradores-do-bairro-da-penajoia-escrevem-carta-a-camara-municipal_n1693112,2025-10-23 11:47:41+01:00,RTP,pais,13,36,3,11,0
Sindicato denuncia entraves à greve dos trabalhadores na saúde,"O Sindicato Nacional dos Trabalhadores dos Serviços e de Entidades com Fins Públicos (STSS) denunciou hoje que estão a registar-se impedimentos à greve, nomeadamente dos enfermeiros, em várias unidades de saúde do país.",https://www.rtp.pt/noticias/pais/sindicato-denuncia-entraves-a-greve-dos-trabalhadores-na-saude_n1693111,2025-10-23 11:37:55+01:00,RTP,pais,9,33,3,11,0
"""Apoiou-me sempre"". Carlos Moedas lembra contacto com Pinto Balsemão",O presidente da Câmara de Lisboa recorda que Pinto Balsemão foi a primeira figura a quem telefonou quando decidiu candidatar-se à autarquia. Carlos Moedas acrescenta que contou sempre com o apoio do fundador do PSD.,https://www.rtp.pt/noticias/pais/apoiou-me-sempre-carlos-moedas-lembra-contacto-com-pinto-balsemao_v1693098,2025-10-23 10:14:47+01:00,RTP,pais,9,35,3,10,1
Morreu antigo ministro da Justiça Álvaro Laborinho Lúcio,Morreu na madrugada desta quinta-feira Álvaro Laborinho Lúcio. O antigo ministro da Justiça e juiz conselheiro jubilado do Supremo Tribunal de Justiça tinha 83 anos.,https://www.rtp.pt/noticias/pais/morreu-antigo-ministro-da-justica-alvaro-laborinho-lucio_n1693086,2025-10-23 09:38:56+01:00,RTP,pais,8,25,3,9,0
